NVIDIA,RTX 4090,2.23,2.52,Ada Hatelace,DLSS 3,GDDR6X,24,1008,2022-10-12
AMD,RX 7900 XTX,2.3,2.5,RDNA 3,FSR 2,GDDR6,24,960,2022-12-13
Intel,ARC A770,2.1,2.4,Alchemist,XeSS,GDDR6,16,512,2022-10-12
NVIDIA,RTX 4080,2.21,2.51,Ada Lovelace,DLSS 3,GDDR6X,16,716.8,2022-11-16
NVIDIA,RTX 4070 Ti,2.31,2.61,Ada Lovelace,DLSS 3,GDDR6X,12,504,2023-01-05
AMD,RX 7800 XT,2,2.5,RDNA 3,FSR 2,GDDR6,16,624,2023-09-06
AMD,RX 7700 XT,2.1,2.54,RDNA 3,FSR 2,GDDR6,12,432,2023-09-06
Intel,ARC A750,2.05,2.4,Alchemist,XeSS,GDDR6,8,512,2022-10-12
Intel,ARC A580,1.7,2.05,Alchemist,XeSS,GDDR6,8,512,2023-08-15
NVIDIA,RTX 4060 Ti,2.31,2.54,Ada Lovelace,DLSS 3,GDDR6,8,288,2023-05-24
NVIDIA,RTX 4060,1.83,2.46,Ada Lovelace,DLSS 3,GDDR6,8,272,2023-06-29
NVIDIA,RTX 4050,1.75,2.22,Ada Lovelace,DLSS 3,GDDR6,6,192,2023-07-20
AMD,RX 7600,2.25,2.65,RDNA 3,FSR 2,GDDR6,8,288,2023-05-25
AMD,RX 6700 XT,2.32,2.58,RDNA 2,FSR 2,GDDR6,12,384,2021-03-18
AMD,RX 6600 XT,2.35,2.58,RDNA 2,FSR 2,GDDR6,8,256,2021-08-11
Intel,ARC A770 8GB,2.1,2.4,Alchemist,XeSS,GDDR6,8,512,2022-10-12
Intel,ARC A380,2,2.45,Alchemist,XeSS,GDDR6,6,186,2022-06-15
NVIDIA,GTX 1660 Super,1.53,1.78,Turing,None,GDDR6,6,336,2019-10-29
NVIDIA,GTX 1650 Super,1.53,1.72,Turing,None,GDDR6,4,192,2019-11-22
AMD,RX 580,1.25,1.34,Polaris,None,GDDR5,8,256,2017-04-18
AMD,RX 570,1.16,1.24,Polaris,None,GDDR5,4,224,2017-04-18
NVIDIA,RTX 2080 Ti,1.35,1.6,Turing,DLSS 1,GDDR6,11,616,2018-09-27
NVIDIA,RTX 2080 Super,1.65,1.815,Turing,DLSS 1,GDDR6,8,496,2019-07-23
AMD,RX 6900 XT,2,2.25,RDNA 2,FSR 2,GDDR6,16,512,2020-12-08
AMD,RX 6800 XT,1.825,2.25,RDNA 2,FSR 2,GDDR6,16,512,2020-11-18
Intel,ARC A310,1.5,2,Alchemist,XeSS,GDDR6,4,128,2022-10-12
NVIDIA,RTX 3060 Ti,1.41,1.67,Ampere,DLSS 2,GDDR6,8,448,2020-12-02
NVIDIA,RTX 3060,1.32,1.78,Ampere,DLSS 2,GDDR6,12,360,2021-02-25
AMD,RX 6600,2.04,2.49,RDNA 2,FSR 2,GDDR6,8,224,2021-10-13
AMD,RX 6500 XT,2.61,2.81,RDNA 2,FSR 2,GDDR6,4,144,2022-01-19
Intel,ARC A770 Limited Edition,2.1,2.4,Alchemist,XeSS,GDDR6,16,512,2022-10-12
NVIDIA,RTX 5090,2.02,2.45,Blackwell,DLSS 4,GDDR7,32,1500,2025-01-30
NVIDIA,RTX 5080,2.29,2.65,Blackwell,DLSS 4,GDDR7,16,1200,2025-01-30
NVIDIA,RTX 5070 Ti,2.32,2.68,Blackwell,DLSS 4,GDDR7,16,1000,2025-02-20
AMD,RX 9070 XT,1.66,2.52,RDNA 4,FSR 3,GDDR6,16,900,2025-03-06
Intel,ARC B580,2.1,2.5,Battlemage,XeSS 2,GDDR6,12,600,2024-12-15
NVIDIA,RTX 5070,2.32,2.65,Blackwell,DLSS 4,GDDR7,12,850,2025-03-04
AMD,RX 9060 XT,1.55,2.45,RDNA 4,FSR 3,GDDR6,12,750,2025-04-22
Intel,ARC B570,2,2.4,Battlemage,XeSS 2,GDDR6,10,550,2025-01-10
NVIDIA,RTX 5060 Ti,2.4,2.7,Blackwell,DLSS 4,GDDR7,8,600,2025-04-16
AMD,RX 9050,1.45,2.35,RDNA 4,FSR 3,GDDR6,8,500,2025-04-30
NVIDIA,GTX 1070,1.5,1.68,Pascal,None,GDDR5,8,256,2016-06-10
NVIDIA,GTX 1660 Super,1.53,1.78,Turing,None,GDDR6,6,336,2019-10-29
NVIDIA,RTX 2060,1.36,1.68,Turing,DLSS 1,GDDR6,6,336,2019-01-07
AMD,RX 580,1.25,1.34,Polaris,None,GDDR5,8,256,2017-04-18
AMD,RX 570,1.16,1.24,Polaris,None,GDDR5,4,224,2017-04-18
NVIDIA,RTX 3060,1.32,1.78,Ampere,DLSS 2,GDDR6,12,360,2021-02-25
AMD,RX 6600,2.04,2.49,RDNA 2,FSR 2,GDDR6,8,224,2021-10-13
Intel,ARC A380,2,2.45,Alchemist,XeSS,GDDR6,6,186,2022-06-15
NVIDIA,GTX 1080 Ti,1.48,1.6,Pascal,None,GDDR5X,11,484,2017-03-10
AMD,RX Vega 64,1.25,1.54,Vega,None,HBM2,8,483,2017-08-14
NVIDIA,GTX 980 Ti,1,1.2,Maxwell,None,GDDR5,6,336,2015-06-02
NVIDIA,GTX 970,1.05,1.17,Maxwell,None,GDDR5,4,224,2014-09-19
AMD,R9 390X,1.05,1.08,GCN,None,GDDR5,8,384,2015-06-18
AMD,R9 290X,1,1.05,GCN,None,GDDR5,4,320,2013-10-24
Intel,ARC A310,1.5,2,Alchemist,XeSS,GDDR6,4,128,2022-10-12
NVIDIA,RTX 3070 Ti,1.58,1.77,Ampere,DLSS 2,GDDR6X,8,608,2021-06-10
AMD,RX 6800,1.825,2.1,RDNA 2,FSR 2,GDDR6,16,512,2020-11-18
NVIDIA,GTX 760,0.98,1.03,Kepler,None,GDDR5,2,192,2013-06-25
AMD,HD 7970,0.925,1,GCN,None,GDDR5,3,264,2011-12-22
NVIDIA,GTX 460,0.675,0.85,Fermi,None,GDDR5,1,115,2010-07-12
